€235,000 	 House Type D, Cluain Na Greine Phase 4, Clonygowan, Co. Offaly
€220,000 	 House Type C, Cluain Na Greine Phase 4, Clonygowan, Co. Offaly
€160,000 	 17 The Park, Killane View, Edenderry, Offaly
€275,000 	 21 Ard Riadha, Geashill, Tullamore, Co Offaly, R35VK29
€240,000 	 Kilcavan, Geashill, Offaly
€98,000 	 59 Church Hill, Tullamore, Offaly
€500,000 	 Alderborough, Geashill, Co Offaly, R35CX56
€175,000 	 1 Newberry Close, Edenderry, Offaly
€225,000  -€50,000 on 29th Jun 20 	 Ballyshonogh House, Clonanny, Portarlington, Laois
€47,000 	 Two Circa 0.75 Acre Sites at Tonlemone, Cloghan, Offaly
€380,000 	 Derryad, Killeigh, Tullamore, Offaly, R35X596
AMV €80,000 	 2 Chapel Street , Tullamore, Offaly
AMV €80,000 	 3 Chapel Street, Tullamore, Offaly
AMV €60,000 	 12 Chapel Street, Tullamore, Offaly
€255,000 	 House Type D, Cluain Na Greine Final Phase, Clonygowan, Co. Offaly
€285,000 	 House Type A, Cluain Na Greine Final Phase, Clonygowan, Co. Offaly
€260,000 	 House Type B, Cluain Na Greine Final Phase, Clonygowan, Co. Offaly
€275,000 	 House Type A2, Cluain Na Greine Final Phase, Clonygowan, Co. Offaly
€270,000 	 House Type B1, Cluain Na Greine Final Phase, Clonygowan, Co. Offaly
€159,000 	 27 Patrick Street, Portarlington, Laois
